"Order referrer name","Total sales","Total sales (20251115)","Total sales (20251115) "
"youtube",3054876,485752,528.896
"instagram",2417709,42732,5557.841
"twitter",27969,6281,345.295
"linkedin",10725,0,
"tiktok",10161,0,
