"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"【日常会話が止まらない - 400の動詞表現を完全マスター】","import",,1442,5242478,-727960,-20480,4494038,438452,4932490
"import完全版 - PREMIUM COMPLETE EDITION","import",,539,4373740,-759596,-6280,3607864,307636,3915500
"ESSENTIAL VERBS 400","import",,451,1664712,-198822,-3618,1462272,63143,1525415
"NativeDose [ネイティブに近づく 究極の200表現]","import",,296,1158651,-181223,0,977428,82700,1060128
"【超速 銀の英単語 01】English Booster SILVER EXPRESS","import",,554,812005,-89334,-9565,713106,62039,775145
"[영어를 뇌에 자동 임포트 - 400개의 동사 표현 완벽 마스터]","import",,14,54127,-1927,0,52200,300,52500
"ESSENTIAL VERBS 400 - Educator’s License","import",,1,29818,-5069,0,24749,2475,27224
