"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"import完全版 - PREMIUM COMPLETE EDITION","import",,447,3536951,-642070,0,2894881,248784,3143665
"【日常会話が止まらない - 400の動詞表現を完全マスター】","import",,56,198923,-38881,0,160042,16016,176058
"ESSENTIAL VERBS 400","import",,36,128699,-18141,0,110558,5637,116195
"NativeDose [ネイティブに近づく 究極の200表現]","import",,28,107858,-22235,0,85623,6538,92161
"[영어를 뇌에 자동 임포트 - 400개의 동사 표현 완벽 마스터]","import",,1,3923,0,0,3923,0,3923
